EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,7,10,9,10,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,9,8,7,10,9,10,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,9,8,7,10,9,10,10,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,10,10,7,10,10,10,10,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
6,10,10,7,10,10,10,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
7,9,9,8,10,10,8,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
6,9,9,9,10,10,7,9,8,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,9,9,10,10,8,8,9,7,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,9,9,10,10,9,9,9,6,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
7,9,9,10,9,9,9,9,7,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
8,9,10,10,9,9,9,9,7,12,kinni; raamat; rabandus; hoidma; tuisk; torm; käsi; ivo; poeg; isa
